房源编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
BAOJI2504942071639982080,宝鸡,渭滨区,高新区,高新佳园三期,80㎡,整租,东南,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2520052961854898176,宝鸡,渭滨区,火车站,圣泰小区,117㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2525118683463303168,宝鸡,渭滨区,姜谭路,万丰小区,86㎡,整租,东北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2505176167917551616,宝鸡,渭滨区,清姜,清姜花园,87㎡,整租,南/北,1200元/月,年付价,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2528179954974736384,宝鸡,金台区,大庆路,新秦花园住宅小区,87㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
UNKOWN2124072034664726528,宝鸡,金台区,新福路,五一造纸总厂家属院,83㎡,整租,南,900元/月,,2室,2厅,1卫,暂无数据,暂无数据,暂无数据,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2528179954974736384,宝鸡,金台区,大庆路,新秦花园住宅小区,87㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2521738995508461568,宝鸡,渭滨区,桥南,陕开社区,80㎡,整租,南/北,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2528746297951780864,宝鸡,渭滨区,高新区,尚浦锦园,98㎡,整租,东,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2234720774747594752,宝鸡,金台区,新福路,轩苑臻品,105㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2512956841374523392,宝鸡,金台区,大庆路,工农小区,93㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2517156238475927552,宝鸡,渭滨区,火车站,嘉隆国际,57㎡,整租,西南,1200元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2526781605385871360,宝鸡,渭滨区,桥南,绿舟小区,108㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2537750427018207232,宝鸡,金台区,大庆路,雅典丽舍小区,82㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2530226530471657472,宝鸡,渭滨区,高新区,高新佳园三期,110㎡,整租,南/北,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2554204666275831808,宝鸡,渭滨区,桥南,新烽火盛華園,105㎡,整租,南/北,1200元/月,半年付价,3室,2厅,1卫,随时入住,1年以内,一般下班后可看,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2268804195102490624,宝鸡,金台区,陈仓园,陈仓园,91㎡,整租,南/北,1100元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2494810788401774592,宝鸡,渭滨区,桥南,公园家属小区,80㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2499099757037748224,宝鸡,渭滨区,火车站,嘉隆国际,55㎡,整租,南,1100元/月,,1室,1厅,1卫,随时入住,暂无数据,一般下班后可看,中楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2503641677059588096,宝鸡,渭滨区,火车站,财富广场,96㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,15层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2499270717783146496,宝鸡,渭滨区,桥南,陕安小区,80㎡,整租,南,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,15层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2479699594921902080,宝鸡,渭滨区,清姜,清姜花园,97㎡,整租,南,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,只能周末看房,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2540313923354099712,宝鸡,金台区,大庆路,经纬花园,96㎡,整租,南/北,850元/月,半年付价,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2473121009218363392,宝鸡,金台区,三迪,三迪国际公寓,34㎡,整租,东,1100元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,27层,有,租用车位,民水,民电,有,集中供暖
BAOJI2559204618571882496,宝鸡,渭滨区,高新区,水木清華,52㎡,整租,南/北,1300元/月,,1室,1厅,1卫,2020-07-30,暂无数据,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2505049152019775488,宝鸡,金台区,上马营,東一小區,53㎡,整租,南/北,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2548489923166470144,宝鸡,渭滨区,火车站,建厂小区,54㎡,整租,南,700元/月,季付价,1室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2484097481772630016,宝鸡,金台区,大庆路,宝鸡供电局东区家属院,110㎡,整租,南/北,1000元/月,,3室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2497790949019615232,宝鸡,金台区,上马营,联盟二组小区,94㎡,整租,西北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2512792708528488448,宝鸡,金台区,群众路,建华小区,99㎡,整租,南/北,1000元/月,半年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2521562908786434048,宝鸡,金台区,上马营,跃进铁路南区,47㎡,整租,南,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2525163633307025408,宝鸡,渭滨区,火车站,天上人间都市花园,114㎡,整租,南/北,1300元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2525861992196218880,宝鸡,渭滨区,火车站,新建路东段48号,100㎡,整租,南/北,1200元/月,,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546981368509251584,宝鸡,金台区,上马营,佳和南苑,90㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2542553179330191360,宝鸡,渭滨区,石坝河,石鼓園小區,98㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2543241535835873280,宝鸡,渭滨区,火车站,解放新村,60㎡,整租,南,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,暂无数据,有,集中供暖
BAOJI2545468677831000064,宝鸡,金台区,大庆路,经纬花园,78㎡,整租,南,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2534774586994589696,宝鸡,金台区,上马营,李家崖村,93㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2542553179330191360,宝鸡,渭滨区,石坝河,石鼓園小區,98㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2547314297521324032,宝鸡,渭滨区,火车站,铁路高层,77㎡,整租,南,1300元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,26层,有,租用车位,民水,民电,有,集中供暖
BAOJI2551408134232997888,宝鸡,金台区,上马营,東一小區,52㎡,整租,南/北,900元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2287422908496084992,宝鸡,渭滨区,桥南,长江高科花园,140㎡,整租,南/北,1300元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2486115408588324864,宝鸡,渭滨区,石坝河,人民家园,79㎡,整租,南/北,1300元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2487581915901861888,宝鸡,金台区,上马营,五洲现代城,110㎡,整租,东,1000元/月,年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2492010658703613952,宝鸡,渭滨区,火车站,九华园,124㎡,整租,东南/南,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2496141418838900736,宝鸡,金台区,上马营,宝十路38号院,97㎡,整租,南/北,930元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2497790949019615232,宝鸡,金台区,上马营,联盟二组小区,94㎡,整租,西北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2512978617613418496,宝鸡,金台区,大庆路,宝鸡供电局家属院南区,76㎡,整租,南/北,900元/月,年付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,租用车位,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2500652123323375616,宝鸡,渭滨区,桥南,药玻小区,105㎡,整租,南/北,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2513043041175486464,宝鸡,渭滨区,清姜,益门粮库小区东院,91㎡,整租,南,1200元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2513024011810635776,宝鸡,渭滨区,石坝河,宝光小区南区,97㎡,整租,南/北,1250元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2513053903692496896,宝鸡,金台区,火车站,曙光路,60㎡,整租,南/北,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2515068596036567040,宝鸡,金台区,上马营,联盟三组住宅楼,102㎡,整租,南/北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2525163633307025408,宝鸡,渭滨区,火车站,天上人间都市花园,114㎡,整租,南/北,1300元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2525861992196218880,宝鸡,渭滨区,火车站,新建路东段48号,100㎡,整租,南/北,1200元/月,,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546981368509251584,宝鸡,金台区,上马营,佳和南苑,90㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2557357429599764480,宝鸡,渭滨区,桥南,宝华高层小区,98㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2557338917057863680,宝鸡,金台区,陈仓园,陈仓园铁路住宅A区,76㎡,整租,南/北,1000元/月,,2室,2厅,1卫,2020-07-31,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2553670742994853888,宝鸡,金台区,上马营,东风路32号,53㎡,整租,南,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2559373652889960448,宝鸡,金台区,新福路,金利苑二期,93㎡,整租,南/北,1100元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,26层,有,租用车位,民水,民电,无,集中供暖
BAOJI2387449353104539648,宝鸡,金台区,群众路,建华小区,58㎡,整租,南,950元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,8层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2543562676127408128,宝鸡,金台区,上马营,上马营二号小区,91㎡,整租,北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,暂无数据,有,集中供暖
BAOJI2502649427693404160,宝鸡,渭滨区,火车站,万达新村,137㎡,整租,南,1250元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2534105889300807680,宝鸡,金台区,大庆路,戴家湾小区,98㎡,整租,南,800元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2496191063216365568,宝鸡,渭滨区,火车站,汉新小区,98㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2498553470013931520,宝鸡,渭滨区,高新区,阳光上东,40㎡,整租,南,1000元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2478941987748200448,宝鸡,渭滨区,火车站,嘉隆国际,56㎡,整租,南,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2512240533640839168,宝鸡,渭滨区,高新区,高新新城国际广场,62㎡,整租,南/北,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546892224038445056,宝鸡,金台区,上马营,华煤小区,80㎡,整租,南,850元/月,,2室,1厅,0卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,商水,民电,有,集中供暖
BAOJI2546981936099246080,宝鸡,金台区,陈仓园,陈仓园,91㎡,整租,南,1000元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2542583771652702208,宝鸡,金台区,大庆路,团结花园C区北区,98㎡,整租,南/北,1100元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
BAOJI2552894450834096128,宝鸡,渭滨区,高新区,阳光上东,72㎡,整租,南/北,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2546382490608599040,宝鸡,渭滨区,高新区,阳光上东,92㎡,整租,南/北,1300元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,16层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2466669711640248320,宝鸡,渭滨区,高新区,阳光上东,74㎡,整租,北,1200元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2497865587641303040,宝鸡,金台区,上马营,石油小区(东风路),145㎡,整租,南,1100元/月,半年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2489840302165065728,宝鸡,金台区,上马营,金陵家园,80㎡,整租,南/北,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2543334020843323392,宝鸡,渭滨区,火车站,沁心院,104㎡,整租,南/北,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2470825424821682176,宝鸡,金台区,上马营,跃进路西,110㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2484762044101312512,宝鸡,金台区,上马营,东岭家属院,120㎡,整租,南,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2487488114470699008,宝鸡,金台区,上马营,上馬营東二小區,58㎡,整租,南/北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2496861745386635264,宝鸡,渭滨区,石坝河,雨虹馨园,89㎡,整租,南/北,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478221420422250496,宝鸡,金台区,上马营,五洲现代城,133㎡,整租,南,1100元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2481186604178481152,宝鸡,渭滨区,桥南,碧水湾,103㎡,整租,西,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2485510220810289152,宝鸡,金台区,上马营,联盟三组住宅楼,110㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2486742355416457216,宝鸡,金台区,上马营,中宝花园,101㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,租用车位,民水,民电,有,集中供暖
BAOJI2478283115118993408,宝鸡,金台区,上马营,上馬营東二小區,58㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2488404716141150208,宝鸡,渭滨区,桥南,宝鸡卷烟厂英达路住宅小区,135㎡,整租,南/北,1300元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2495397103723872256,宝鸡,金台区,大庆路,电力新苑,91㎡,整租,南/北,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,无,集中供暖
BAOJI2496287581952540672,宝鸡,渭滨区,高新区,来福大厦,125㎡,整租,东北,1300元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,17层,有,暂无数据,暂无数据,暂无数据,暂无数据,集中供暖
BAOJI2508702316077785088,宝鸡,金台区,上马营,五洲现代城,110㎡,整租,南/北,1100元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,28层,有,租用车位,暂无数据,暂无数据,有,集中供暖
BAOJI2515754398999912448,宝鸡,金台区,上马营,电气化社区,70㎡,整租,南,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2520975546909990912,宝鸡,渭滨区,火车站,建厂小区,153㎡,整租,南/北,1300元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2531162981442519040,宝鸡,金台区,新福路,新福园南区,71㎡,整租,西,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2531775774373969920,宝鸡,金台区,大庆路,新秦花园住宅小区,93㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2548318032544415744,宝鸡,金台区,上马营,上馬营東二小區,53㎡,整租,南/北,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478221420422250496,宝鸡,金台区,上马营,五洲现代城,133㎡,整租,南,1100元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2481186604178481152,宝鸡,渭滨区,桥南,碧水湾,103㎡,整租,西,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2485510220810289152,宝鸡,金台区,上马营,联盟三组住宅楼,110㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2486742355416457216,宝鸡,金台区,上马营,中宝花园,101㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,租用车位,民水,民电,有,集中供暖
BAOJI2478283115118993408,宝鸡,金台区,上马营,上馬营東二小區,58㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2488404716141150208,宝鸡,渭滨区,桥南,宝鸡卷烟厂英达路住宅小区,135㎡,整租,南/北,1300元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2488865463749050368,宝鸡,金台区,大庆路,宏文路58号院,86㎡,整租,南/北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2495397103723872256,宝鸡,金台区,大庆路,电力新苑,91㎡,整租,南/北,1100元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,无,集中供暖
BAOJI2491801909258616832,宝鸡,金台区,上马营,上马营二号小区,90㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2497716984389836800,宝鸡,渭滨区,火车站,建厂小区,120㎡,整租,南/北,1100元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2508641400581791744,宝鸡,金台区,上马营,宝鸡卷烟厂家属院,96㎡,整租,南/北,950元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2515754398999912448,宝鸡,金台区,上马营,电气化社区,70㎡,整租,南,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2520975546909990912,宝鸡,渭滨区,火车站,建厂小区,153㎡,整租,南/北,1300元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2526051533003694080,宝鸡,渭滨区,三迪,三迪加州阳光小区,128㎡,整租,南/北,1100元/月,半年付价,4室,2厅,2卫,随时入住,1年以内,需提前预约,中楼层,32层,有,免费使用,民水,民电,有,集中供暖
BAOJI2531162981442519040,宝鸡,金台区,新福路,新福园南区,71㎡,整租,西,1100元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2531775774373969920,宝鸡,金台区,大庆路,新秦花园住宅小区,93㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546397382602391552,宝鸡,渭滨区,桥南,烽火新村,81㎡,整租,北,1050元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2550473858595962880,宝鸡,金台区,上马营,佳和南苑,89㎡,整租,南/北,1000元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2492646556562358272,宝鸡,金台区,新福路,豪城H区,111㎡,整租,南/北,1000元/月,年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,31层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2525154148643504128,宝鸡,金台区,大庆路,中元水韵尚品,139㎡,整租,西,1000元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,24层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2551431281548738560,宝鸡,渭滨区,火车站,嘉隆国际,80㎡,整租,西,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2512108074358284288,宝鸡,金台区,上马营,明苑小区,98㎡,整租,东/西,1100元/月,,2室,2厅,1卫,随时入住,3年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2524472426436501504,宝鸡,金台区,火车站,曙光新村,93㎡,整租,东南,900元/月,半年付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
BAOJI2430354666736336896,宝鸡,渭滨区,桥南,华夏盛世佳园,43㎡,整租,南/北,1200元/月,,1室,0厅,1卫,随时入住,暂无数据,需提前预约,低楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2492562757816426496,宝鸡,渭滨区,桥南,华夏盛世佳园,43㎡,整租,北,1200元/月,,1室,0厅,1卫,随时入住,暂无数据,需提前预约,中楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2544739439729442816,宝鸡,渭滨区,高新区,新起点家园C区,45㎡,整租,南,1300元/月,半年付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,高楼层,17层,有,暂无数据,民水,民电,有,集中供暖
